id,date,price,bedrooms,bathrooms,floors,waterfront,view,condition,review_score,basement_size,built,renovation,zipcode,latitude,longitude,living_room_size,lot_size
7787980.0,13 October 2014,221900.0,3.0,1.0,1.0,0.0,0.0,fair,10.0,0.0,1955.0,0.0,98178.0,47.5112,-122.257,1340.0,5650.0
6774848.0,09 December 2014,538000.0,3.0,2.25,2.0,0.0,0.0,fair,7.0,400.0,1951.0,1991.0,98125.0,47.721,-122.319,1690.0,7639.0
6999329.0,25 February 2015,180000.0,2.0,1.0,1.0,0.0,0.0,fair,8.0,0.0,1933.0,0.0,98028.0,47.7379,-122.233,2720.0,8062.0
7773052.0,09 December 2014,604000.0,4.0,3.0,1.0,0.0,0.0,excellent,6.0,910.0,1965.0,0.0,98136.0,47.5208,-122.393,1360.0,5000.0
7760818.0,18 February 2015,510000.0,3.0,2.0,1.0,0.0,0.0,fair,6.0,0.0,1987.0,0.0,98074.0,47.6168,-122.045,1800.0,7503.0
7659918.0,12 May 2014,1225000.0,4.0,4.5,1.0,0.0,0.0,fair,8.0,1530.0,2001.0,0.0,98053.0,47.6561,-122.005,4760.0,101930.0
8057033.0,27 June 2014,257500.0,3.0,2.25,2.0,0.0,0.0,FAIR,7.0,0.0,1995.0,0.0,98003.0,47.3097,-122.327,2238.0,6819.0
7249853.0,15 January 2015,291850.0,3.0,1.5,1.0,0.0,0.0,fair,7.0,0.0,1963.0,0.0,98198.0,47.4095,-122.315,1650.0,9711.0
7906980.0,15 April 2015,229500.0,3.0,1.0,1.0,0.0,0.0,FAIR,7.0,730.0,1960.0,0.0,98146.0,47.5123,-122.337,1780.0,8113.0
7605289.0,12 March 2015,323000.0,3.0,2.5,2.0,0.0,0.0,fair,7.0,0.0,2003.0,0.0,98038.0,47.3684,-122.031,2390.0,7570.0
7934973.0,03 April 2015,662500.0,3.0,2.5,1.0,0.0,0.0,fair,7.0,1700.0,1965.0,0.0,98007.0,47.6007,-122.145,2210.0,8925.0
6867014.0,27 May 2014,468000.0,2.0,1.0,1.0,0.0,0.0,good,6.0,300.0,1942.0,0.0,98115.0,47.69,-122.292,1330.0,6000.0
,28 May 2014,,3.0,,1.5,0.0,,good,5.0,,1927.0,0.0,,,,,12697.0
7158525.0,07 October 2014,400000.0,3.0,1.75,1.0,0.0,0.0,good,7.0,0.0,1977.0,0.0,98074.0,47.6127,-122.045,1370.0,10208.0
7728368.0,12 March 2015,530000.0,5.0,2.0,1.5,0.0,0.0,fair,9.0,0.0,1900.0,0.0,98107.0,47.67,-122.394,1360.0,4850.0
6927268.0,24 January 2015,650000.0,4.0,3.0,2.0,0.0,3.0,fair,7.0,970.0,1979.0,0.0,98126.0,47.5714,-122.375,2140.0,4000.0
6828369.0,31 July 2014,395000.0,3.0,2.0,2.0,0.0,0.0,fair,7.0,0.0,1994.0,0.0,98019.0,47.7277,-121.962,1890.0,14018.0
7148719.0,29 May 2014,485000.0,4.0,1.0,1.5,0.0,0.0,good,9.0,0.0,1916.0,0.0,98103.0,47.6648,-122.343,1610.0,4300.0
7651336.0,05 December 2014,189000.0,2.0,1.0,1.0,0.0,0.0,good,8.0,0.0,1921.0,0.0,98002.0,47.3089,-122.21,1060.0,5095.0
7681773.0,24 April 2015,230000.0,3.0,1.0,1.0,0.0,0.0,good,8.0,0.0,1969.0,0.0,98003.0,47.3343,-122.306,1280.0,8850.0
7445014.0,14 May 2014,385000.0,4.0,1.75,1.0,0.0,0.0,good,9.0,760.0,1947.0,0.0,98133.0,47.7025,-122.341,1400.0,4980.0
7648006.0,26 August 2014,2000000.0,3.0,2.75,1.0,0.0,4.0,fair,,720.0,1968.0,0.0,98040.0,47.5316,-122.233,4110.0,20336.0
7073168.0,03 July 2014,285000.0,5.0,2.5,2.0,0.0,0.0,fair,7.0,0.0,1995.0,0.0,98092.0,47.3266,-122.169,2240.0,7005.0
6825462.0,16 May 2014,252700.0,2.0,1.5,1.0,0.0,0.0,fair,7.0,0.0,1985.0,0.0,98030.0,47.3533,-122.166,1220.0,8386.0
6915073.0,20 November 2014,329000.0,3.0,2.25,2.0,0.0,0.0,good,7.0,0.0,1985.0,0.0,98030.0,47.3739,-122.172,2200.0,6865.0
6897135.0,03 November 2014,233000.0,3.0,2.0,1.5,0.0,0.0,excellent,7.0,0.0,1941.0,0.0,98002.0,47.3048,-122.218,1030.0,4705.0
7697553.0,26 June 2014,937000.0,3.0,1.75,2.0,0.0,0.0,fair,7.0,700.0,1915.0,0.0,98119.0,47.6386,-122.36,1760.0,3573.0
